Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000101109665,5385d4c9-bc07-40e0-9029-70d4b6a2d026,pure life water,1600000000101109666,,1.50,10/6/2025,No,No,06827465,
1600000000100984849,55c5565f-aecd-48a0-b29e-272e1cb5fab1,Bready Nutella,1600000000100984850,,3.00,10/6/2025,No,No,009800820023,
1600000000047670874,56006835-768c-420f-8299-992a67b0dab7,berries,1600000000047728370,,0.00,9/17/2025,No,Yes,,
1600000000100228874,56cec849-1cfd-4bac-9ed1-47a60aa82201,crumb donuts,1600000000100228875,,3.00,10/6/2025,No,No,035751118285,
1600000000049323642,56e85135-53ba-4a08-a9f0-de176ff0dc84,Parfait,1600000000049302133,,7.00,9/18/2025,No,No,345678912355,
1600000000047170998,58259b48-97a1-4e64-802e-188c682ebf04,passionfruit,1600000000047456606,,0.00,9/17/2025,No,Yes,,
1600000000386964925,58853e96-cec0-49ca-adb9-a3688ab1acf6,Club,1600000000386887141,,8.00,11/19/2025,No,No,1111111111,
1600000000047201028,591c5c31-524f-4376-9c04-98c502679382,Breakfast burrito,1600000000047070036,,10.00,9/17/2025,No,No,,
1600000000100354826,5d640ab6-c13c-4b42-96bd-057f19fc5bf3,Bready Nutella,1600000000100354827,,3.00,10/6/2025,No,No,009800820023,
1600000000100982643,5e48f3a9-746d-4a8f-b77e-11184429a03b,japanese peanuts,1600000000100982644,,2.50,10/6/2025,No,No,028400261555,
1600000000047170995,5ebaad97-feee-41e8-89f9-c476f8b4a9c8,strawberry,1600000000047456603,,0.00,9/17/2025,No,Yes,,
1600000000047670873,5f38f2d2-cf1e-41ad-bf5e-2e4fa5ec7fe8,feta cheese,1600000000047728369,,0.00,9/17/2025,No,Yes,,
1600000000049369214,5f986cfe-f82f-4d66-9367-a2978de3cc51,Cilantro-Lime Salad,1600000000049364509,,15.00,9/18/2025,No,No,100000000021,
